City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Harper,LR,4.375,-7.7169,80.37,82,98,7.78,overcast clouds
298,Inuvik,CA,68.3499,-133.7218,-7.6,54,100,4.61,overcast clouds
299,Tukrah,LY,32.5341,20.5791,53.17,64,91,14.7,overcast clouds
300,Sawakin,SD,19.1059,37.3321,75.85,69,0,11.34,clear sky
301,Namatanai,PG,-3.6667,152.4333,79.5,84,100,7.76,light rain
302,Eyl,SO,7.9803,49.8164,79.02,69,3,9.42,clear sky
303,Ilulissat,GL,69.2167,-51.1,21.2,86,90,3.44,overcast clouds
304,Roma,US,43.2128,-75.4557,78.8,29,1,4.61,clear sky
305,Bara,NG,10.3744,10.7288,85.24,13,96,1.61,overcast clouds
306,Kasongo-Lunda,CD,-6.4667,16.8167,69.06,95,79,1.95,broken clouds
307,Omboue,GA,-1.5746,9.2618,79.12,85,100,2.48,overcast clouds
308,Estelle,US,29.8458,-90.1067,77.0,69,75,6.91,broken clouds
309,Severo-Kurilsk,RU,50.6789,156.125,29.59,79,95,20.92,overcast clouds
310,Beyneu,KZ,45.3167,55.2,61.77,40,31,21.83,scattered clouds
311,Preobrazheniye,RU,42.9019,133.9064,37.44,82,0,7.27,clear sky
312,Sanchursk,RU,56.9413,47.2499,33.64,99,100,3.49,overcast clouds
313,Ranong,TH,9.9658,98.6348,77.79,85,56,4.32,broken clouds
314,Brae,GB,60.3964,-1.353,32.0,80,75,5.75,broken clouds
315,Blackwater,AU,-23.5833,148.8833,72.86,58,88,3.49,overcast clouds
316,Maceio,BR,-9.6658,-35.7353,73.4,94,90,9.22,overcast clouds
317,La Palma,US,33.8464,-118.0467,75.2,64,75,9.22,broken clouds
318,Camacari,BR,-12.6975,-38.3242,80.6,74,75,9.22,broken clouds
319,Magadan,RU,59.5667,150.8,8.38,74,70,10.0,broken clouds
320,Bajil,YE,15.0584,43.2851,84.58,38,42,6.13,scattered clouds
321,Okha,RU,53.5739,142.9478,28.54,83,8,12.84,clear sky
322,Port Lincoln,AU,-34.7333,135.8667,58.1,65,100,15.26,overcast clouds
323,Jackson,US,42.4165,-122.8345,59.0,41,75,4.61,broken clouds
324,Cedar City,US,37.6775,-113.0619,69.8,7,1,14.97,clear sky
325,Kavaratti,IN,10.5669,72.642,82.15,73,0,8.05,clear sky
326,Turba,EE,59.0831,24.225,37.0,94,0,3.0,clear sky
327,Ligayan,PH,4.6533,119.4706,82.63,74,80,5.61,broken clouds
328,Nanlong,CN,31.3533,106.0631,54.97,92,100,2.86,overcast clouds
329,Tambacounda,SN,13.7539,-13.7586,97.38,13,2,5.55,clear sky
330,Alice Springs,AU,-23.7,133.8833,57.99,67,0,5.75,clear sky
331,Grindavik,IS,63.8424,-22.4338,33.8,100,90,10.36,light intensity drizzle
332,Kerema,PG,-7.9631,145.7785,76.19,84,86,3.8,overcast clouds
333,Buala,SB,-8.145,159.5921,80.64,78,100,3.67,overcast clouds
334,Garissa,KE,-0.4536,39.6401,81.36,70,93,15.93,overcast clouds
335,Buraydah,SA,26.326,43.975,77.0,31,20,14.97,few clouds
336,Berlevag,NO,70.8578,29.0864,27.23,69,22,19.24,few clouds
337,Eureka,US,40.8021,-124.1637,60.01,72,5,8.99,clear sky
338,Diu,IN,20.7141,70.9822,78.37,56,0,13.22,clear sky
339,Gebre Guracha,ET,9.8,38.4,63.0,32,97,4.97,overcast clouds
340,Benguela,AO,-12.5763,13.4055,81.5,85,79,2.66,broken clouds
341,Birjand,IR,32.8663,59.2211,64.72,22,7,3.69,clear sky
342,Ico,BR,-6.4011,-38.8622,83.23,55,89,2.66,overcast clouds
343,Marsh Harbour,BS,26.5412,-77.0636,76.23,66,1,17.58,clear sky
344,Narok,KE,-1.0783,35.8601,59.0,92,100,5.55,overcast clouds
345,Acarau,BR,-2.8856,-40.12,81.19,79,68,15.5,broken clouds
346,Wichita Falls,US,33.9137,-98.4934,70.0,19,1,11.5,clear sky
